tag,hidden_nodes,hidden_nodes2,learning_rate,batch_size,epochs,seed,test_accuracy,misclassified_count,save_dir,secs
hn128_hn20_lr0.5_bs64,128,0,0.5,64,15,42,0.9797999858856201,202,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.5_bs64,9.63
hn128_hn20_lr0.5_bs100,128,0,0.5,100,15,42,0.9794999957084656,205,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.5_bs100,8.48
hn128_hn20_lr0.5_bs256,128,0,0.5,256,15,42,0.9789000153541565,211,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.5_bs256,7.24
hn128_hn20_lr0.1_bs64,128,0,0.1,64,15,42,0.9783999919891357,216,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.1_bs64,9.27
hn128_hn20_lr0.1_bs100,128,0,0.1,100,15,42,0.9745000004768372,255,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.1_bs100,8.36
hn128_hn20_lr0.1_bs256,128,0,0.1,256,15,42,0.9628000259399414,372,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.1_bs256,7.31
hn128_hn20_lr0.05_bs64,128,0,0.05,64,15,42,0.9718000292778015,282,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.05_bs64,9.36
hn128_hn20_lr0.05_bs100,128,0,0.05,100,15,42,0.9672999978065491,327,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.05_bs100,8.51
hn128_hn20_lr0.05_bs256,128,0,0.05,256,15,42,0.9474999904632568,525,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.05_bs256,7.32
hn128_hn20_lr0.01_bs64,128,0,0.01,64,15,42,0.9466000199317932,534,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.01_bs64,9.57
hn128_hn20_lr0.01_bs100,128,0,0.01,100,15,42,0.9327999949455261,672,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.01_bs100,8.46
hn128_hn20_lr0.01_bs256,128,0,0.01,256,15,42,0.9150000214576721,850,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn20_lr0.01_bs256,7.37
hn128_hn2256_lr0.5_bs64,128,256,0.5,64,15,42,0.9830999970436096,169,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.5_bs64,16.23
hn128_hn2256_lr0.5_bs100,128,256,0.5,100,15,42,0.9817000031471252,183,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.5_bs100,13.96
hn128_hn2256_lr0.5_bs256,128,256,0.5,256,15,42,0.9799000024795532,201,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.5_bs256,10.94
hn128_hn2256_lr0.1_bs64,128,256,0.1,64,15,42,0.9804999828338623,195,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.1_bs64,15.95
hn128_hn2256_lr0.1_bs100,128,256,0.1,100,15,42,0.9767000079154968,233,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.1_bs100,9.64
hn128_hn2256_lr0.1_bs256,128,256,0.1,256,15,42,0.9718000292778015,282,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.1_bs256,10.98
hn128_hn2256_lr0.05_bs64,128,256,0.05,64,15,42,0.9772999882698059,227,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.05_bs64,16.22
hn128_hn2256_lr0.05_bs100,128,256,0.05,100,15,42,0.9753000140190125,247,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.05_bs100,13.96
hn128_hn2256_lr0.05_bs256,128,256,0.05,256,15,42,0.9629999995231628,370,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.05_bs256,10.79
hn128_hn2256_lr0.01_bs64,128,256,0.01,64,15,42,0.9593999981880188,406,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.01_bs64,10.7
hn128_hn2256_lr0.01_bs100,128,256,0.01,100,15,42,0.9472000002861023,528,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.01_bs100,9.6
hn128_hn2256_lr0.01_bs256,128,256,0.01,256,15,42,0.9297999739646912,702,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn128_hn2256_lr0.01_bs256,8.3
hn512_hn20_lr0.5_bs64,512,0,0.5,64,15,42,0.9830999970436096,169,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.5_bs64,17.06
hn512_hn20_lr0.5_bs100,512,0,0.5,100,15,42,0.9810000061988831,190,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.5_bs100,9.74
hn512_hn20_lr0.5_bs256,512,0,0.5,256,15,42,0.9793000221252441,207,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.5_bs256,8.16
hn512_hn20_lr0.1_bs64,512,0,0.1,64,15,42,0.979200005531311,208,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.1_bs64,16.95
hn512_hn20_lr0.1_bs100,512,0,0.1,100,15,42,0.9764999747276306,235,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.1_bs100,9.79
hn512_hn20_lr0.1_bs256,512,0,0.1,256,15,42,0.9660999774932861,339,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.1_bs256,8.11
hn512_hn20_lr0.05_bs64,512,0,0.05,64,15,42,0.9763000011444092,237,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.05_bs64,16.95
hn512_hn20_lr0.05_bs100,512,0,0.05,100,15,42,0.9717000126838684,283,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.05_bs100,9.79
hn512_hn20_lr0.05_bs256,512,0,0.05,256,15,42,0.9577999711036682,422,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.05_bs256,8.05
hn512_hn20_lr0.01_bs64,512,0,0.01,64,15,42,0.954200029373169,458,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.01_bs64,17.0
hn512_hn20_lr0.01_bs100,512,0,0.01,100,15,42,0.9451000094413757,549,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.01_bs100,11.21
hn512_hn20_lr0.01_bs256,512,0,0.01,256,15,42,0.9298999905586243,701,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn20_lr0.01_bs256,8.26
hn512_hn2256_lr0.5_bs64,512,256,0.5,64,15,42,0.9847999811172485,152,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.5_bs64,20.58
hn512_hn2256_lr0.5_bs100,512,256,0.5,100,15,42,0.9828000068664551,172,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.5_bs100,15.03
hn512_hn2256_lr0.5_bs256,512,256,0.5,256,15,42,0.982200026512146,178,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.5_bs256,11.93
hn512_hn2256_lr0.1_bs64,512,256,0.1,64,15,42,0.9810000061988831,190,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.1_bs64,20.58
hn512_hn2256_lr0.1_bs100,512,256,0.1,100,15,42,0.9785000085830688,215,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.1_bs100,15.38
hn512_hn2256_lr0.1_bs256,512,256,0.1,256,15,42,0.9750000238418579,250,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.1_bs256,11.87
hn512_hn2256_lr0.05_bs64,512,256,0.05,64,15,42,0.9783999919891357,216,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.05_bs64,22.67
hn512_hn2256_lr0.05_bs100,512,256,0.05,100,15,42,0.9751999974250793,248,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.05_bs100,19.47
hn512_hn2256_lr0.05_bs256,512,256,0.05,256,15,42,0.9672999978065491,327,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.05_bs256,15.03
hn512_hn2256_lr0.01_bs64,512,256,0.01,64,15,42,0.9638000130653381,362,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.01_bs64,24.37
hn512_hn2256_lr0.01_bs100,512,256,0.01,100,15,42,0.9598000049591064,402,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.01_bs100,19.41
hn512_hn2256_lr0.01_bs256,512,256,0.01,256,15,42,0.9409999847412109,590,C:\Users\sajit\Desktop\git\csc580\module2\experiments\runs\hn512_hn2256_lr0.01_bs256,15.13
